Technology & Communication,Social Relationships & Identity,Work & Economic Life,Media, Information & Entertainment,Domestic & Everyday Life
computer,friend,worker,newspaper,kitchen
phone,family,office,magazine,bathroom
camera,marriage,company,podcast,bedroom
smartphone,parent,factory,television,living room
television,child,manager,cinema,meal
microphone,neighbor,secretary,animation,dinner
keyboard,community,entrepreneur,music,lunch
touchscreen,partner,employee,album,breakfast
smartwatch,celebrity,career,channel,pet
GPS,gentleman,job,streaming,toy
email,lady,business,platform,vacation
inbox,citizen,market,article,shopping
vinyl,leader,store,headline,laundry
satellite,feminist,bank,blogger,recipe
newspaper,activist,meeting,influencer,garden
archive,immigrant,salary,audience,furniture
calculator,companion,union,theater,car
console,stranger,profession,novel,apartment
selfie,roommate,coworker,documentary,neighborhood
chatbot,influencer,retirement,newsfeed,classroom